Variable,Description
case_id, Id to merge on
actualdpdtolerance_344P,DPD of client with tolerance.
amtinstpaidbefduel24m_4187115A,Number of instalments paid before due date in the last 24 months.
annuity_780A,Monthly annuity amount.
annuitynextmonth_57A,Next month's amount of annuity.
applicationcnt_361L,Number of applications associated with the same email address as the client.
applications30d_658L,Number of applications made by the client in the last 30 days.
applicationscnt_1086L,Number of applications associated with the same phone number.
applicationscnt_464L,Number of applications made in the last 30 days by other clients with the same employer as the applicant.
applicationscnt_629L,Number of applications with the same employer in the last 7 days.
applicationscnt_867L,Number of applications associated with the same mobile phone.
avgdbddpdlast24m_3658932P,Average days past or before due of payment during the last 24 months.
avgdbddpdlast3m_4187120P,Average days past or before due of payment during the last 3 months.
avgdbdtollast24m_4525197P,Average days of payment before due date within the last 24 months (with tolerance).
avgdpdtolclosure24_3658938P,"Average DPD (days past due) with tolerance within the past 24 months from the maximum closure date, assuming that the contract is finished. If the contract is ongoing, the calculation is based on the current date."
avginstallast24m_3658937A,Average instalments paid by the client over the past 24 months.
avglnamtstart24m_4525187A,Average loan amount in the last 24 months.
avgmaxdpdlast9m_3716943P,Average Days Past Due (DPD) of the client in last 9 months.
avgoutstandbalancel6m_4187114A,Average outstanding balance of applicant for the last 6 months.
avgpmtlast12m_4525200A,Average of payments made by the client in the last 12 months.
bankacctype_710L,Type of applicant's bank account.
cardtype_51L,Type of credit card.
clientscnt12m_3712952L,Number of clients that have used the same mobile phone as the applicant in the past 12 months.
clientscnt3m_3712950L,Number of clients who have the same mobile phone number in the last 3 months.
clientscnt6m_3712949L,Total number of clients who have used the same mobile number in the last 6 months.
clientscnt_100L,Number of applications with matching employer's phone and client's.
clientscnt_1022L,Number of clients sharing the same mobile phone.
clientscnt_1071L,Number of applications where the alternative phone number matches that of the client.
clientscnt_1130L,Number of applications where client's phone number matches the alternative phone contact.
clientscnt_136L,Number of applications associated with same email address as client's email.
clientscnt_157L,Number of clients whose employer has the same phone number as the client.
clientscnt_257L,Number of clients that share an alternative phone number with the applicant.
clientscnt_304L,Number of clients with the same phone number.
clientscnt_360L,Number of clients that have the same alternative phone number and employer's phone number.
clientscnt_493L,Number of clients with matching phone numbers for both the employer and the client.
clientscnt_533L,Number of clients with same client's and alternative's phone number
clientscnt_887L,Number of clients sharing the same employer's phone number.
clientscnt_946L,Number of clients with matching mobile and employer's number.
cntincpaycont9m_3716944L,Number of incoming payments in the past 9 months.
cntpmts24_3658933L,Number of months with any incoming payment in last 24 months.
commnoinclast6m_3546845L,Number of communications indicating low income in the last six months.
credamount_770A,Loan amount or credit card limit.
credtype_322L,Type of credit.
currdebt_22A,Current debt amount of the client.
currdebtcredtyperange_828A,Current amount of debt of the applicant.
datefirstoffer_1144D,Date of first customer relationship management (CRM) offer.
datelastinstal40dpd_247D,Date of last instalment that was more than 40 days past due (DPD).
datelastunpaid_3546854D,Date of the last unpaid instalment.
daysoverduetolerancedd_3976961L,Number of days that past after the due date (with tolerance).
deferredmnthsnum_166L,Number of deferred months.
disbursedcredamount_1113A,Disbursed credit amount after consolidation.
disbursementtype_67L,Type of disbursement.
downpmt_116A,Amount of downpayment.
dtlastpmtallstes_4499206D,Date of last payment made by the applicant.
eir_270L,Interest rate.
equalitydataagreement_891L,"Flag indicating sudden changes in client's social-demographic data (e.g. education, family status, housing type)."
equalityempfrom_62L,Flag indicating a sudden change in the client's length of employment.
firstclxcampaign_1125D,Date of the client's first campaign.
firstdatedue_489D,Date of the first due date.
homephncnt_628L,Number of distinct home phones on client's application.
inittransactionamount_650A,Initial transaction amount of the credit application.
inittransactioncode_186L,Transaction type of the initial credit transaction.
interestrate_311L,The interest rate of the active credit contract.
interestrategrace_34L,Interest rate during the grace period.
isbidproduct_1095L,Flag indicating if the product is a cross-sell.
isbidproductrequest_292L,Flag indicating if the product is a cross-sell.
isdebitcard_729L,Flag indicating if the product is a debit card.
lastactivateddate_801D,Contract activation date for previous applications.
lastapplicationdate_877D,Date of previous customer's application.
lastapprcommoditycat_1041M,Commodity category of the last loan applications made by the applicant.
lastapprcommoditytypec_5251766M,Commodity type of the last application.
lastapprcredamount_781A,Credit amount from the client's last application.
lastapprdate_640D,Date of approval on client's most recent previous application.
lastcancelreason_561M,Cancellation reason of the last application.
lastdelinqdate_224D,Date of the last delinquency occurrence.
lastdependentsnum_448L,Number of dependents in the client's last loan application.
lastotherinc_902A,Amount of other income reported by the client in their last application.
lastotherlnsexpense_631A,Monthly expenses on other loans from the last application.
lastrejectcommoditycat_161M,Category of commodity in the applicant's last rejected application.
lastrejectcommodtypec_5251769M,Commodity type of the last rejected application.
lastrejectcredamount_222A,Credit amount on last rejected application.
lastrejectdate_50D,Date of most recent rejected application by the applicant.
lastrejectreason_759M,Reason for rejection on the most recent rejected application.
lastrejectreasonclient_4145040M,Reason for the client's last loan rejection.
lastrepayingdate_696D,Date of the last payment made by the applicant.
lastst_736L,Status of the client's previous credit application.
maininc_215A,Client's primary income amount.
mastercontrelectronic_519L,Flag indicating the existence of the master contract for the client.
mastercontrexist_109L,Flag indicating whether or not the applicant has an existing master contract.
maxannuity_159A,Maximum annuity previously obtained by client.
maxannuity_4075009A,Maximal annuity offered to the client in the current application.
maxdbddpdlast1m_3658939P,Maximum number of days past due in the last month. A negative value indicates the number of days before the due date.
maxdbddpdtollast12m_3658940P,Maximum number of days past due in last 12 months. A negative value implies days before due date.
maxdbddpdtollast6m_4187119P,Maximum number of days past due in last 6 months. This predictor takes the value as a negative number when it represents days before due date.
maxdebt4_972A,Maximal principal debt of the client in the history older than 4 months.
maxdpdfrom6mto36m_3546853P,Maximum Days Past Due (DPD) in the period ranging from 6 to 36 months.
maxdpdinstldate_3546855D,Date of instalment on which client was most days past due.
maxdpdinstlnum_3546846P,Instalment number of which client was most days past due.
maxdpdlast12m_727P,Maximum days past due in the past 12 months.
maxdpdlast24m_143P,Maximal days past due in the last 24 months.
maxdpdlast3m_392P,Maximum number of days past due in last 3 months.
maxdpdlast6m_474P,Maximum days past due in the last 6 months.
maxdpdlast9m_1059P,Maximum days past due in last 9 months.
maxdpdtolerance_374P,Maximum number of days past due (with tolerance).
maxinstallast24m_3658928A,Maximum instalment in the last 24 months
maxlnamtstart6m_4525199A,Maximum loan amount started in the last 6 months.
maxoutstandbalancel12m_4187113A,Maximum outstanding balance in the last 12 months.
maxpmtlast3m_4525190A,Maximum payment made by the client in the last 3 months.
mindbddpdlast24m_3658935P,Minimum days past due (or days before due) in last 24 months.
mindbdtollast24m_4525191P,Minimum days before due in last 24 months.
mobilephncnt_593L,Number of persons with the same mobile phone number.
monthsannuity_845L,Monthly annuity amount for the applicant.
numactivecreds_622L,Number of active credits.
numactivecredschannel_414L,Number of active credits.
numactiverelcontr_750L,Number of active revolving credits.
numcontrs3months_479L,Number of contracts in last 3 months.
numincomingpmts_3546848L,Number of incoming payments.
numinstlallpaidearly3d_817L,Number of instalments paid at least 3 days prior to their due date.
